00:30:27.049 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting Servlet engine: [Apache Tomcat/10.1.24]
00:30:27.119 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing Spring embedded WebApplicationContext
00:30:27.121 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext 296 - Root WebApplicationContext: initialization completed in 2010 ms
00:30:27.318 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation 31 - HHH000204: Processing PersistenceUnitInfo [name: default]
00:30:27.364 [main] INFO  org.hibernate.Version.logVersion 44 - HHH000412: Hibernate ORM core version 6.5.2.Final
00:30:27.401 [main] INFO  o.h.c.i.RegionFactoryInitiator.initiateService 50 - HHH000026: Second-level cache disabled
00:30:27.768 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer 87 - No LoadTimeWeaver setup: ignoring JPA class transformer
00:30:27.794 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 109 - HikariPool-1 - Starting...
00:30:29.724 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast 554 - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@fee7ca
00:30:29.725 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 122 - HikariPool-1 - Start completed.
00:30:29.821 [main] WARN  o.h.e.j.d.i.DialectFactoryImpl.constructDialect 153 - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
00:30:31.145 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService 59 - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
00:30:32.248 [main] INFO  o.s.o.j.AbstractEntityManagerFactoryBean.buildNativeEntityManagerFactory 437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
00:30:32.541 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory.<clinit> 49 - Hibernate is in classpath; If applicable, HQL parser will be used.
00:30:33.124 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor 236 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
00:30:33.522 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer.configure 83 - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
00:30:33.523 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer.configure 72 - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
00:30:34.225 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> 54 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@59cfabaf, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@174bbe8e, org.springframework.security.web.context.SecurityContextHolderFilter@4e683bb8, org.springframework.security.web.header.HeaderWriterFilter@18fb5226, org.springframework.web.filter.CorsFilter@4412b152, org.springframework.security.web.authentication.logout.LogoutFilter@346b793b, com.kelp_6.banking_apps.security.filter.JwtRequestFilter@6225c800, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5d186b14, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f50f047, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@562998d3, org.springframework.security.web.session.SessionManagementFilter@64476bb5, org.springframework.security.web.access.ExceptionTranslationFilter@11f2be38, org.springframework.security.web.access.intercept.AuthorizationFilter@fe8344c]
00:30:34.544 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting ProtocolHandler ["http-nio-8080"]
00:30:34.552 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start 243 - Tomcat started on port 8080 (http) with context path '/api/v1.0'
00:30:34.567 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started BankingAppsApplication in 10.29 seconds (process running for 10.835)
00:30:35.675 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 130 - [SUCCESS] Seeds 5 records to users table
00:30:35.678 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 149 - [SUCCESS] Seeds 2 records to account_types table
00:30:35.685 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 187 - [SUCCESS] Seeds 5 records to accounts table
00:30:35.689 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 217 - [SUCCESS] Seeds 10 records to login infos table
00:30:35.693 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 241 - [SUCCESS] Seeds 6 records to saved accounts table
00:30:35.707 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 299 - [SUCCESS] Seeds 48 records to transactions table
00:34:03.829 [SpringApplicationShutdownHook] INFO  o.s.o.j.AbstractEntityManagerFactoryBean.destroy 650 - Closing JPA EntityManagerFactory for persistence unit 'default'
00:34:03.831 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 349 - HikariPool-1 - Shutdown initiated...
00:34:04.277 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 351 - HikariPool-1 - Shutdown completed.
00:34:07.512 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> 21 - HV000001: Hibernate Validator 8.0.1.Final
00:34:07.561 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting BankingAppsApplication using Java 21.0.4 with PID 18291 (/home/n9mi/Documents/src/synergy/BE-Java/target/classes started by n9mi in /home/n9mi/Documents/src/synergy/BE-Java)
00:34:07.563 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
00:34:08.594 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn 143 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
00:34:08.690 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn 211 - Finished Spring Data repository scanning in 89 ms. Found 7 JPA repository interfaces.
00:34:09.426 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize 111 - Tomcat initialized with port 8080 (http)
00:34:09.437 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing ProtocolHandler ["http-nio-8080"]
00:34:09.440 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting service [Tomcat]
00:34:09.440 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting Servlet engine: [Apache Tomcat/10.1.24]
00:34:09.500 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing Spring embedded WebApplicationContext
00:34:09.502 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext 296 - Root WebApplicationContext: initialization completed in 1855 ms
00:34:09.688 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation 31 - HHH000204: Processing PersistenceUnitInfo [name: default]
00:34:09.734 [main] INFO  org.hibernate.Version.logVersion 44 - HHH000412: Hibernate ORM core version 6.5.2.Final
00:34:09.767 [main] INFO  o.h.c.i.RegionFactoryInitiator.initiateService 50 - HHH000026: Second-level cache disabled
00:34:10.062 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer 87 - No LoadTimeWeaver setup: ignoring JPA class transformer
00:34:10.087 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 109 - HikariPool-1 - Starting...
00:34:10.935 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast 554 - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@38923cfe
00:34:10.937 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 122 - HikariPool-1 - Start completed.
00:34:11.007 [main] WARN  o.h.e.j.d.i.DialectFactoryImpl.constructDialect 153 - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
00:34:12.222 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService 59 - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
00:34:13.227 [main] INFO  o.s.o.j.AbstractEntityManagerFactoryBean.buildNativeEntityManagerFactory 437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
00:34:13.507 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory.<clinit> 49 - Hibernate is in classpath; If applicable, HQL parser will be used.
00:34:14.046 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor 236 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
00:34:14.373 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer.configure 83 - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
00:34:14.374 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer.configure 72 - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
00:34:15.014 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> 54 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@729fc36a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@38eaac79, org.springframework.security.web.context.SecurityContextHolderFilter@388b4f68, org.springframework.security.web.header.HeaderWriterFilter@59632e3c, org.springframework.web.filter.CorsFilter@69231217, org.springframework.security.web.authentication.logout.LogoutFilter@315f5ffb, com.kelp_6.banking_apps.security.filter.JwtRequestFilter@40cb19d5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@58decd96, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5241aea8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7356f0e0, org.springframework.security.web.session.SessionManagementFilter@112dfb03, org.springframework.security.web.access.ExceptionTranslationFilter@44bd4b94, org.springframework.security.web.access.intercept.AuthorizationFilter@174bbe8e]
00:34:15.309 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting ProtocolHandler ["http-nio-8080"]
00:34:15.317 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start 243 - Tomcat started on port 8080 (http) with context path '/api/v1.0'
00:34:15.331 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started BankingAppsApplication in 8.501 seconds (process running for 8.952)
00:34:16.450 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 130 - [SUCCESS] Seeds 5 records to users table
00:34:16.453 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 149 - [SUCCESS] Seeds 2 records to account_types table
00:34:16.458 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 187 - [SUCCESS] Seeds 5 records to accounts table
00:34:16.462 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 217 - [SUCCESS] Seeds 10 records to login infos table
00:34:16.466 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 241 - [SUCCESS] Seeds 6 records to saved accounts table
00:34:16.478 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 299 - [SUCCESS] Seeds 48 records to transactions table
